"2022","BMW","X1","28i","$36,395"
"2023","BMW","X2","28i","$37,595"
"2022","BMW","X3","30i","$44,695"
"2022","BMW","X3","M40i","$58,795"
"2023","BMW","X3","30i","$46,395"
"2023","BMW","X3","M40i","$60,945"
"2022","BMW","X3 M","Standard","$71,095"
"2023","BMW","X3 M","Standard","$73,895"
"2022","BMW","X4","30i","$52,795"
"2022","BMW","X4","M40i","$63,395"
"2023","BMW","X4","30i","$54,395"
"2023","BMW","X4","M40i","$65,645"
"2022","BMW","X4 M","Standard","$74,595"
"2023","BMW","X4 M","Standard","$77,395"
"2022","BMW","X5","40i","$61,595"
"2022","BMW","X5","M50i","$83,795"
"2022","BMW","X5","45e","$64,695"
"2023","BMW","X5","40i","$62,595"
"2023","BMW","X5","M50i","$86,395"
"2023","BMW","X5","45e","$66,695"
"2022","BMW","X5 M","Standard","$107,095"
"2023","BMW","X5 M","Standard","$109,895"
"2022","BMW","X6","40i","$68,345"
"2022","BMW","X6","M50i","$87,245"
"2023","BMW","X6","40i","$71,095"
"2023","BMW","X6","M50i","$90,095"
"2022","BMW","X6 M","Standard","$110,595"
"2023","BMW","X6 M","Standard","$114,695"
"2022","BMW","X7","40i","$75,895"
"2022","BMW","X7","M50i","$100,795"
"2022","BMW","X7","ALPINA XB7","$142,295"
"2023","BMW","X7","40i","$78,845"
"2023","BMW","X7","M60i","$104,095"
"2022","BMW","Z4","30i","$50,895"
"2022","BMW","Z4","M40i","$64,695"
"2022","Buick","Enclave","Essence","$44,195"
"2022","Buick","Enclave","Premium","$51,195"
"2022","Buick","Enclave","Avenir","$56,495"
"2023","Buick","Enclave","Essence","$46,195"
"2023","Buick","Enclave","Premium","$53,195"
"2023","Buick","Enclave","Avenir","$58,495"
"2022","Buick","Encore","Preferred","$27,295"
"2022","Buick","Encore GX","Preferred","$25,595"
"2022","Buick","Encore GX","Select","$26,995"
"2022","Buick","Encore GX","Essence","$30,195"
"2023","Buick","Encore GX","Preferred","$27,095"
"2023","Buick","Encore GX","Select","$28,495"
"2023","Buick","Encore GX","Essence","$31,695"
"2022","Buick","Envision","Preferred","$32,895"
"2022","Buick","Envision","Essence","$36,995"
"2022","Buick","Envision","Avenir","$41,245"
"2022","Cadillac","CT4","Luxury","$35,090"
"2022","Cadillac","CT4","Premium Luxury","$39,990"
"2022","Cadillac","CT4","Sport","$41,190"
"2023","Cadillac","CT4","Luxury","$35,790"
"2023","Cadillac","CT4","Premium Luxury","$40,690"
"2023","Cadillac","CT4","Sport","$41,890"
"2022","Cadillac","CT4-V","Standard","$47,290"
"2022","Cadillac","CT4-V","Blackwing","$60,390"
"2023","Cadillac","CT4-V","Standard","$47,990"
"2023","Cadillac","CT4-V","Blackwing","$61,890"
"2022","Cadillac","CT5","Luxury","$38,690"
"2022","Cadillac","CT5","Premium Luxury","$43,190"
"2022","Cadillac","CT5","Sport","$44,390"
"2023","Cadillac","CT5","Luxury","$39,590"
"2023","Cadillac","CT5","Premium Luxury","$44,090"
"2023","Cadillac","CT5","Sport","$45,290"
"2022","Cadillac","CT5-V","Standard","$51,490"
"2022","Cadillac","CT5-V","Blackwing","$85,390"
"2023","Cadillac","CT5-V","Standard","$52,390"
"2023","Cadillac","CT5-V","Blackwing","$92,390"
"2022","Cadillac","Escalade","Luxury","$79,590"
"2022","Cadillac","Escalade","Premium Luxury","$88,390"
"2022","Cadillac","Escalade","Sport","$91,390"
"2022","Cadillac","Escalade","Premium Luxury Platinum","$105,890"
"2022","Cadillac","Escalade","Sport Platinum","$105,890"
"2023","Cadillac","Escalade","Luxury","$81,090"
"2023","Cadillac","Escalade","Premium Luxury","$89,890"
"2023","Cadillac","Escalade","Sport","$92,890"
"2023","Cadillac","Escalade","Premium Luxury Platinum","$107,390"
"2023","Cadillac","Escalade","Sport Platinum","$107,390"
"2023","Cadillac","Escalade-V","Standard","$150,990"
"2022","Cadillac","XT4","Luxury","$36,990"
"2022","Cadillac","XT4","Premium Luxury","$40,790"
"2022","Cadillac","XT4","Sport","$40,590"
"2023","Cadillac","XT4","Luxury","$37,490"
"2023","Cadillac","XT4","Premium Luxury","$41,390"
"2023","Cadillac","XT4","Sport","$41,990"
"2022","Cadillac","XT5","Luxury","$45,390"
"2022","Cadillac","XT5","Premium Luxury","$50,190"
"2022","Cadillac","XT5","Sport","$57,290"
"2023","Cadillac","XT5","Luxury","$45,590"
"2023","Cadillac","XT5","Premium Luxury","$51,390"
"2023","Cadillac","XT5","Sport","$58,490"
"2022","Cadillac","XT6","Luxury","$49,990"
"2022","Cadillac","XT6","Premium Luxury","$54,390"
"2022","Cadillac","XT6","Sport","$59,690"
"2023","Cadillac","XT6","Luxury","$49,990"
"2023","Cadillac","XT6","Premium Luxury","$56,190"
"2023","Cadillac","XT6","Sport","$61,490"
"2022","Chevrolet","Blazer","2LT","$34,795"
"2022","Chevrolet","Blazer","3LT","$38,995"
"2022","Chevrolet","Blazer","RS","$42,495"
"2022","Chevrolet","Blazer","Premier","$42,495"
"2023","Chevrolet","Blazer","2LT","$36,495"
"2023","Chevrolet","Blazer","3LT","$40,695"
"2023","Chevrolet","Blazer","RS","$44,195"
"2023","Chevrolet","Blazer","Premier","$44,195"
"2022","Chevrolet","Bolt EUV","LT","$34,495"
"2022","Chevrolet","Bolt EUV","Premier","$38,995"
"2023","Chevrolet","Bolt EUV","LT","$28,195"
"2023","Chevrolet","Bolt EUV","Premier","$32,695"
"2022","Chevrolet","Bolt EV","1LT","$32,495"
"2022","Chevrolet","Bolt EV","2LT","$35,695"
"2023","Chevrolet","Bolt EV","1LT","$26,595"
"2023","Chevrolet","Bolt EV","2LT","$29,795"
"2022","Chevrolet","Camaro","1LS","$26,395"
"2022","Chevrolet","Camaro","1LT","$26,895"
"2022","Chevrolet","Camaro","2LT","$28,895"
"2022","Chevrolet","Camaro","3LT","$32,895"
"2022","Chevrolet","Camaro","LT1","$35,395"
"2022","Chevrolet","Camaro","1SS","$38,895"
"2022","Chevrolet","Camaro","2SS","$43,895"
"2022","Chevrolet","Camaro","ZL1","$64,395"
"2023","Chevrolet","Camaro","1LS","$27,495"
"2023","Chevrolet","Camaro","1LT","$27,995"
"2023","Chevrolet","Camaro","2LT","$29,995"
"2023","Chevrolet","Camaro","3LT","$33,995"
"2023","Chevrolet","Camaro","LT1","$37,495"
"2023","Chevrolet","Camaro","1SS","$40,995"
"2023","Chevrolet","Camaro","2SS","$45,995"
"2023","Chevrolet","Camaro","ZL1","$68,395"
"2022","Chevrolet","Colorado","WT","$27,230"
"2022","Chevrolet","Colorado","LT","$30,030"
"2022","Chevrolet","Colorado","Z71","$36,895"
"2022","Chevrolet","Colorado","ZR2","$44,695"
"2023","Chevrolet","Corvette","1LT","$65,895"
"2023","Chevrolet","Corvette","2LT","$73,195"
"2023","Chevrolet","Corvette","3LT","$77,845"
"2022","Chevrolet","Equinox","LS","$27,695"
"2022","Chevrolet","Equinox","LT","$28,795"
"2022","Chevrolet","Equinox","RS","$31,995"
"2022","Chevrolet","Equinox","Premier","$32,895"
"2022","Chevrolet","Express Cargo Van","Base","$34,695"
"2022","Chevrolet","Express Passenger","LS","$38,895"
"2022","Chevrolet","Express Passenger","LT","$40,995"
"2022","Chevrolet","Malibu","LS","$24,495"
"2022","Chevrolet","Malibu","RS","$25,495"
"2022","Chevrolet","Malibu","LT","$27,895"
"2022","Chevrolet","Malibu","Premier","$34,595"
"2022","Chevrolet","Silverado 1500","WT","$36,395"
"2022","Chevrolet","Silverado 1500","Custom","$43,395"
"2022","Chevrolet","Silverado 1500","Custom Trail Boss","$51,295"
"2022","Chevrolet","Silverado 1500","LT","$47,495"
"2022","Chevrolet","Silverado 1500","RST","$51,695"
"2022","Chevrolet","Silverado 1500","LT Trail Boss","$57,095"
"2022","Chevrolet","Silverado 1500","LTZ","$56,495"
"2022","Chevrolet","Silverado 1500","ZR2","$70,195"
"2022","Chevrolet","Silverado 1500","High Country","$61,595"
"2022","Chevrolet","Silverado 1500 LTD","Work Truck","$32,195"
"2022","Chevrolet","Silverado 1500 LTD","Custom","$39,395"
"2022","Chevrolet","Silverado 1500 LTD","Custom Trail Boss","$46,995"
"2022","Chevrolet","Silverado 1500 LTD","LT","$43,095"
"2022","Chevrolet","Silverado 1500 LTD","LT Trail Boss","$54,295"
"2022","Chevrolet","Silverado 1500 LTD","RST","$47,395"
"2022","Chevrolet","Silverado 1500 LTD","LTZ","$51,995"
"2022","Chevrolet","Silverado 1500 LTD","High Country","$56,495"
"2022","Chevrolet","Silverado 2500HD","WT","$41,295"
"2022","Chevrolet","Silverado 2500HD","Custom","$45,495"
"2022","Chevrolet","Silverado 2500HD","LT","$45,195"
"2022","Chevrolet","Silverado 2500HD","LTZ","$54,795"
"2022","Chevrolet","Silverado 2500HD","High Country","$68,995"
"2023","Chevrolet","Silverado 2500HD","WT","$42,295"
"2023","Chevrolet","Silverado 2500HD","Custom","$46,495"
"2023","Chevrolet","Silverado 2500HD","LT","$46,495"
"2023","Chevrolet","Silverado 2500HD","LTZ","$56,095"
"2023","Chevrolet","Silverado 2500HD","High Country","$70,295"
"2022","Chevrolet","Silverado 3500HD","WT","$42,495"
"2022","Chevrolet","Silverado 3500HD","LT","$46,395"
"2022","Chevrolet","Silverado 3500HD","LTZ","$57,795"
"2022","Chevrolet","Silverado 3500HD","High Country","$70,195"
"2023","Chevrolet","Silverado 3500HD","WT","$43,495"
"2023","Chevrolet","Silverado 3500HD","LT","$47,695"
